Slide,Patch,Diagnosis
2,8391,0
2,11432,0
2,458,0
2,3720,0
2,5238,0
2,10917,0
2,10128,0
2,10057,0
2,7726,0
2,12049,0
2,5829,0
2,3692,0
2,9287,0
2,10617,0
2,2355,0
2,10506,0
2,2823,0
2,12453,0
2,8489,0
2,11797,0
2,4311,0
2,6393,0
2,843,0
2,11368,0
2,5384,0
2,1951,0
2,5449,0
2,9296,0
2,11213,0
2,9390,0
2,7820,0
2,5320,0
2,3657,0
2,7354,0
2,7999,0
2,8787,0
2,11191,0
2,3144,0
2,12086,0
2,8772,0
2,7590,0
2,8875,0
2,12790,0
2,6238,0
2,4255,0
2,264,0
2,197,0
2,594,0
2,1282,0
2,5748,0
2,359,0
2,576,0
2,5329,0
2,2830,0
2,2227,0
2,7308,0
2,6536,0
2,3402,0
2,9650,0
2,11668,0
2,193,0
2,1128,0
2,12335,0
2,9103,0
2,4185,0
2,7497,0
2,12632,0
2,4307,0
2,1606,0
2,1586,0
2,12081,0
2,79,0
2,1502,0
2,5412,0
2,5192,0
2,2072,0
2,10685,0
2,7421,0
2,5250,0
2,9610,0
2,1684,0
2,6030,0
2,1039,0
2,597,0
2,4161,0
2,5436,0
2,2537,0
2,10863,0
2,2816,0
2,5891,0
2,4054,0
2,10781,0
2,4810,0
2,1033,0
2,4308,0
2,5753,0
2,1297,0
2,12646,0
2,5308,0
2,877,0
2,3220,0
2,9800,0
2,10646,0
2,2974,0
2,6070,0
2,3682,0
2,8429,0
2,12675,0
2,7500,0
2,1026,0
2,6587,0
2,826,0
2,10289,0
2,2942,0
2,10805,0
2,1165,0
2,1939,0
2,5609,0
2,10860,0
2,5188,0
2,733,0
2,43,0
2,10998,0
2,10139,0
2,6011,0
2,10191,0
2,11143,0
2,1670,0
2,1247,0
2,9943,0
2,10193,0
2,11223,0
2,11884,0
2,9932,0
2,8877,0
2,4180,0
2,11918,0
2,11830,0
2,12777,0
2,1981,0
2,876,0
2,4394,0
2,2805,0
2,410,0
2,4563,0
2,1857,0
2,7569,0
2,6700,0
2,1936,0
2,1940,0
2,5526,0
2,12184,0
2,3596,0
2,2204,0
2,8708,0
2,8085,0
2,304,0
2,2677,0
2,7266,0
2,2095,0
2,588,0
2,9858,0
2,1236,0
2,10195,0
2,8242,0
2,5420,0
2,8979,0
2,427,0
2,1800,0
2,7001,0
2,12233,0
2,4750,0
2,6450,0
2,2854,0
2,1660,0
2,9766,0
2,2663,0
2,10544,0
2,12010,0
2,6350,0
2,9754,0
2,1882,0
2,3673,0
2,3416,0
2,1624,0
2,40,0
2,7700,0
2,1683,0
2,8662,0
2,10770,0
2,1520,0
2,1716,0
2,11089,0
2,6016,0
2,3814,0
2,9922,0
2,12696,0
2,9681,0
2,2898,0
2,8549,0
2,10102,0
2,5903,0
2,8006,0
2,7884,0
2,1106,0
2,5081,0
2,11698,0
2,3915,0
2,9749,0
2,9419,0
2,3438,0
2,3283,0
2,7873,0
2,10156,0
2,5288,0
2,4188,0
2,6847,0
2,10277,0
2,6440,0
2,6345,0
2,5823,0
2,5262,0
2,9439,0
2,7204,0
2,10021,0
2,11090,0
2,1437,0
2,5409,0
2,2625,0
2,6932,0
2,9730,0
2,4020,0
2,625,0
2,7511,0
2,10878,0
2,3151,0
2,5564,0
2,2570,0
2,8860,0
2,12584,0
2,2714,0
2,10930,0
2,126,0
2,752,0
2,220,0
2,2913,0
2,672,0
2,1431,0
2,1557,0
2,2131,0
2,4121,0
2,4555,0
2,2152,0
2,7162,0
2,3165,0
2,2780,0
2,6989,0
2,5446,0
2,4725,0
2,2624,0
2,7849,0
2,2763,0
2,12619,0
2,6988,0
2,11199,0
2,4527,0
2,7040,0
2,2329,0
2,2980,0
2,1869,0
2,11303,0
2,11844,0
2,2304,0
2,5325,0
2,1852,0
2,2086,0
2,5781,0
2,12226,0
2,7655,0
2,11643,0
2,2120,0
2,11656,0
2,6485,0
2,7907,0
2,492,0
2,6794,0
2,9562,0
2,10912,0
2,9517,0
2,1677,0
2,7185,0
2,2335,0
2,7450,0
2,2496,0
2,1815,0
2,1643,0
2,8119,0
2,3742,0
2,1860,0
2,2157,0
2,2701,0
2,7206,0
2,12671,0
2,7710,0
2,11477,0
2,12365,0
2,6991,0
2,2472,0
2,12718,0
2,2727,0
2,694,0
2,723,0
2,9581,0
2,3380,0
2,6019,0
2,8458,0
2,9080,0
2,9357,0
2,9407,0
2,8399,0
2,7815,0
2,2783,0
2,5935,0
2,11663,0
2,10690,0
2,4728,0
2,5057,0
2,6436,0
2,67,0
2,6686,0
2,2041,0
2,8731,0
2,6565,0
2,7399,0
2,706,0
2,10111,0
2,8535,0
2,10533,0
2,3422,0
2,11516,0
2,9814,0
2,2808,0
2,11597,0
2,11743,0
2,8060,0
2,12760,0
2,8766,0
2,8600,0
2,12692,0
2,2393,0
2,10996,0
2,1189,0
2,9007,0
2,9067,0
2,3912,0
2,2399,0
2,4829,0
2,8168,0
2,5273,0
2,10368,0
2,4654,0
2,11919,0
2,9028,0
2,5547,0
2,3076,0
2,2886,0
2,2340,0
2,6967,0
2,11289,0
2,1406,0
2,617,0
2,5832,0
2,8916,0
2,7719,0
2,2609,0
2,9719,0
2,2878,0
2,1086,0
2,1321,0
2,12458,0
2,10262,0
2,4900,0
2,6774,0
2,7910,0
2,6451,0
2,6169,0
2,2661,0
2,6882,0
2,2582,0
2,3367,0
2,186,0
2,8439,0
2,3015,0
2,12535,0
2,2194,0
2,9835,0
2,8352,0
2,7142,0
2,5077,0
2,2418,0
2,8981,0
2,469,0
2,1171,0
2,10651,0
2,10683,0
2,10994,0
2,6303,0
2,8162,0
2,2214,0
2,6338,0
2,6424,0
2,3858,0
2,1378,0
2,1958,0
2,9394,0
2,12444,0
2,2616,0
2,9291,0
2,3589,0
2,5937,0
2,3072,0
2,3230,0
2,2202,0
2,11425,0
2,10499,0
2,8886,0
2,9689,0
2,6176,0
2,12300,0
2,8265,0
2,8781,0
2,12048,0
2,2153,0
2,12287,0
2,3944,0
2,2138,0
2,5044,0
2,7783,0
2,2345,0
2,2807,0
2,11343,0
2,12213,0
2,583,0
2,7901,0
2,2517,0
2,5721,0
2,7774,0
2,6803,0
2,1412,0
2,11097,0
2,7401,0
2,364,0
2,12523,0
2,4596,0
2,10226,0
2,11930,0
2,12349,0
2,1263,0
2,1858,0
2,5326,0
2,1260,0
2,3784,0
2,3800,0
2,6037,0
2,8051,0
2,3200,0
2,1583,0
2,7391,0
2,9375,0
2,1229,0
2,12128,0
2,7892,0
2,1408,0
2,5910,0
2,11166,0
2,9742,0
2,10101,0
2,10320,0
2,4066,0
2,11356,0
2,11086,0
2,11364,0
2,1077,0
2,1515,0
2,3536,0
2,6715,0
2,12059,0
2,2706,0
2,3065,0
2,8622,0
2,10133,0
2,1277,0
2,12197,0
2,8374,0
2,551,0
2,2082,0
2,4245,0
2,6808,0
2,8002,0
2,5491,0
2,7175,0
2,7860,0
2,9092,0
2,11357,0
2,4371,0
2,5336,0
2,11348,0
2,4820,0
2,5804,0
2,12748,0
2,3965,0
2,7689,0
2,11959,0
2,1162,0
2,10314,0
2,9638,0
2,9625,0
2,6762,0
2,10213,0
2,1512,0
2,2804,0
2,3446,0
2,9769,0
2,6874,0
2,8519,0
2,10639,0
2,2648,0
2,651,0
2,9494,0
2,4119,0
2,8414,0
2,5650,0
2,3823,0
2,1603,0
2,3315,0
2,8476,0
2,1493,0
2,2191,0
2,9657,0
2,6939,0
2,1769,0
2,10768,0
2,7476,0
2,12311,0
2,9248,0
2,5933,0
2,2567,0
2,7501,0
2,7573,0
2,993,0
2,8585,0
2,4053,0
2,5456,0
2,8794,0
2,10588,0
2,7402,0
2,4554,0
2,12170,0
2,9252,0
2,10645,0
2,12050,0
2,1272,0
2,3897,0
2,9233,0
2,11323,0
2,8960,0
2,572,0
2,10296,0
2,3560,0
2,5535,0
2,3924,0
2,3842,0
2,4018,0
2,7513,0
2,1609,0
2,321,0
2,11725,0
2,6655,0
2,804,0
2,5523,0
2,4882,0
2,7994,0
2,1540,0
2,2725,0
2,8752,0
2,2415,0
2,8375,0
2,4315,0
2,1922,0
2,8707,0
2,760,0
2,10315,0
2,8974,0
2,10726,0
2,4212,0
2,8325,0
2,9371,0
2,8918,0
2,1019,0
2,9590,0
2,11059,0
2,249,0
2,11837,0
2,5714,0
2,10219,0
2,8056,0
2,11027,0
2,2614,0
2,9720,0
2,8505,0
2,832,0
2,7816,0
2,5451,0
