Slide,Patch,Diagnosis
2,6683,0
2,9271,0
2,11248,0
2,5109,0
2,9169,0
2,3263,0
2,4543,0
2,5852,0
2,4958,0
2,10100,0
2,6975,0
2,11540,0
2,9528,0
2,1496,0
2,2198,0
2,5435,0
2,234,0
2,1258,0
2,5141,0
2,9179,0
2,7879,0
2,7239,0
2,2225,0
2,12266,0
2,2309,0
2,8882,0
2,3036,0
2,9462,0
2,9804,0
2,8726,0
2,8333,0
2,7979,0
2,3934,0
2,12728,0
2,2425,0
2,1863,0
2,9505,0
2,4950,0
2,1355,0
2,3035,0
2,2223,0
2,7064,0
2,12057,0
2,10638,0
2,11426,0
2,7807,0
2,8133,0
2,9099,0
2,2770,0
2,10759,0
2,421,0
2,8721,0
2,11230,0
2,10997,0
2,10877,0
2,10408,0
2,8959,0
2,2515,0
2,10095,0
2,8358,0
2,12378,0
2,9787,0
2,11594,0
2,6886,0
2,2888,0
2,12056,0
2,8760,0
2,9306,0
2,2489,0
2,10218,0
2,12603,0
2,1780,0
2,12729,0
2,9110,0
2,3108,0
2,8371,0
2,3332,0
2,11550,0
2,11619,0
2,10221,0
2,12032,0
2,11404,0
2,6986,0
2,9486,0
2,636,0
2,12262,0
2,9622,0
2,238,0
2,11639,0
2,11969,0
2,9763,0
2,5879,0
2,3530,0
2,7918,0
2,4278,0
2,10152,0
2,10388,0
2,2976,0
2,8647,0
2,10910,0
2,12412,0
2,9856,0
2,12368,0
2,8705,0
2,10229,0
2,531,0
2,1022,0
2,6764,0
2,11295,0
2,358,0
2,12215,0
2,1470,0
2,10025,0
2,11587,0
2,8290,0
2,2417,0
2,7184,0
2,1548,0
2,1949,0
2,3623,0
2,11724,0
2,9064,0
2,6295,0
2,1528,0
2,6437,0
2,3421,0
2,12459,0
2,8043,0
2,10484,0
2,1701,0
2,4835,0
2,2864,0
2,366,0
2,5836,0
2,9225,0
2,7094,0
2,7220,0
2,8327,0
2,3019,0
2,673,0
2,12376,0
2,10466,0
2,3255,0
2,897,0
2,505,0
2,10322,0
2,6956,0
2,1284,0
2,4935,0
2,10486,0
2,11227,0
2,6368,0
2,7748,0
2,6569,0
2,11209,0
2,641,0
2,4045,0
2,8034,0
2,7129,0
2,10966,0
2,6438,0
2,10127,0
2,6550,0
2,1752,0
2,11441,0
2,3398,0
2,7557,0
2,9782,0
2,4484,0
2,47,0
2,8957,0
2,4177,0
2,129,0
2,5552,0
2,3873,0
2,9066,0
2,8668,0
2,8165,0
2,4109,0
2,9928,0
2,9202,0
2,8896,0
2,3618,0
2,4406,0
2,12403,0
2,1458,0
2,10821,0
2,7295,0
2,12726,0
2,4974,0
2,4729,0
2,11305,0
2,5136,0
2,5562,0
2,7071,0
2,7871,0
2,4005,0
2,2753,0
2,11954,0
2,3372,0
2,3201,0
2,2892,0
2,10666,0
2,5820,0
2,7168,0
2,7364,0
2,7923,0
2,10689,0
2,12133,0
2,8064,0
2,7707,0
2,9534,0
2,6446,0
2,2565,0
2,9728,0
2,8771,0
2,3809,0
2,6839,0
2,5913,0
2,6902,0
2,3951,0
2,6256,0
2,2148,0
2,9697,0
2,11608,0
2,2738,0
2,6964,0
2,785,0
2,2757,0
2,6204,0
2,5494,0
2,3891,0
2,5385,0
2,5860,0
2,3971,0
2,9146,0
2,9184,0
2,4517,0
2,487,0
2,12649,0
2,1809,0
2,9624,0
2,3732,0
2,7236,0
2,1273,0
2,9544,0
2,8066,0
2,11401,0
2,12158,0
2,7686,0
2,6477,0
2,12307,0
2,9126,0
2,815,0
2,5632,0
2,4412,0
2,10772,0
2,6064,0
2,175,0
2,138,0
2,8545,0
2,2328,0
2,2544,0
2,8035,0
2,10806,0
2,9997,0
2,6281,0
2,12438,0
2,1238,0
2,2560,0
2,5414,0
2,6321,0
2,10928,0
2,10257,0
2,1859,0
2,11626,0
2,1339,0
2,3851,0
2,5954,0
2,8317,0
2,9396,0
2,6682,0
2,9861,0
2,6993,0
2,8191,0
2,4657,0
2,591,0
2,3473,0
2,7057,0
2,4282,0
2,1757,0
2,11716,0
2,5830,0
2,9175,0
2,8296,0
2,7207,0
2,4970,0
2,11611,0
2,8821,0
2,9693,0
2,128,0
2,1498,0
2,6481,0
2,1005,0
2,11750,0
2,700,0
2,12151,0
2,1486,0
2,10409,0
2,5427,0
2,633,0
2,8840,0
2,7160,0
2,12095,0
2,2201,0
2,11315,0
2,10675,0
2,2674,0
2,8990,0
2,10143,0
2,10090,0
2,4107,0
2,3433,0
2,11157,0
2,10419,0
2,8057,0
2,8734,0
2,11260,0
2,7800,0
2,3953,0
2,2970,0
2,4920,0
2,708,0
2,5828,0
2,3137,0
2,3638,0
2,41,0
2,3763,0
2,6570,0
2,9406,0
2,9530,0
2,11579,0
2,10027,0
2,3355,0
2,9708,0
2,408,0
2,5856,0
2,12278,0
2,9954,0
2,1044,0
2,11040,0
2,10598,0
2,4368,0
2,9892,0
2,7395,0
2,9339,0
2,3055,0
2,9805,0
2,4360,0
2,8835,0
2,7463,0
2,8518,0
2,6223,0
2,9370,0
2,4593,0
2,7053,0
2,7624,0
2,11650,0
2,11456,0
2,3857,0
2,12761,0
2,6075,0
2,12435,0
2,4367,0
2,388,0
2,10815,0
2,12146,0
2,7485,0
2,11408,0
2,4358,0
2,118,0
2,239,0
2,1651,0
2,2676,0
2,574,0
2,7949,0
2,1225,0
2,8534,0
2,146,0
2,1137,0
2,5784,0
2,8417,0
2,6966,0
2,8586,0
2,8813,0
2,3653,0
2,11878,0
2,10427,0
2,5759,0
2,5948,0
2,12439,0
2,8241,0
2,6658,0
2,3735,0
2,8829,0
2,5946,0
2,9873,0
2,10771,0
2,8155,0
2,8386,0
2,9017,0
2,3771,0
2,6364,0
2,10458,0
2,11620,0
2,10610,0
2,2846,0
2,1944,0
2,822,0
2,12766,0
2,7608,0
2,1383,0
2,6934,0
2,5410,0
2,12742,0
2,3328,0
2,8595,0
2,7282,0
2,6821,0
2,10846,0
2,2822,0
2,2993,0
2,2121,0
2,11298,0
2,10551,0
2,7367,0
2,9916,0
2,5110,0
2,8859,0
2,5024,0
2,11407,0
2,10006,0
2,12195,0
2,227,0
2,5255,0
2,4762,0
2,11049,0
2,12577,0
2,874,0
2,5834,0
2,2029,0
2,6327,0
